Date,HH,Date,Time,solar,tsdemand,HH
21-09-2023,00,21-09-2023,00:30:20,0.0,10753.29,00
21-09-2023,01,21-09-2023,01:02:27,0.0,10717.16,01
21-09-2023,02,21-09-2023,02:01:56,0.0,10605.03,02
21-09-2023,03,21-09-2023,03:02:27,0.0,10464.4,03
21-09-2023,04,21-09-2023,04:58:12,0.0,10448.6,04
21-09-2023,05,21-09-2023,05:59:53,5.91,10988.33,05
21-09-2023,06,21-09-2023,06:59:59,171.52,12492.4,06
21-09-2023,07,21-09-2023,07:54:26,524.75,13095.11,07
21-09-2023,08,21-09-2023,08:00:30,610.39,13036.0,08
21-09-2023,09,21-09-2023,09:48:32,1469.39,12791.88,09
21-09-2023,10,21-09-2023,10:29:40,1587.98,12847.82,10
21-09-2023,11,21-09-2023,11:03:38,1683.71,12786.51,11
21-09-2023,12,21-09-2023,12:01:57,1614.91,12610.89,12
21-09-2023,13,21-09-2023,13:00:13,1819.85,12369.29,13
21-09-2023,14,21-09-2023,14:27:49,1528.86,12273.4,14
21-09-2023,15,21-09-2023,15:04:05,1157.5,12204.39,15
21-09-2023,16,21-09-2023,16:05:36,752.77,12205.83,16
21-09-2023,17,21-09-2023,17:00:47,465.88,11443.04,17
21-09-2023,18,21-09-2023,18:00:57,19.58,9557.56,18
21-09-2023,19,21-09-2023,19:05:20,0.0,9241.61,19
21-09-2023,20,21-09-2023,20:04:00,0.0,8923.25,20
21-09-2023,21,21-09-2023,21:12:21,0.0,8730.16,21
21-09-2023,22,21-09-2023,22:56:54,0.0,9170.28,22
21-09-2023,23,21-09-2023,23:51:54,0.0,9663.67,23
